Nitrogen,Phosphorous,Potassium,Moisture,Crops
34.39161560506654,27.510454008265526,31.921780707079638,67.54537171830977,"Mango, Tomato, Sugarcane, Cotton, Onion"
38.897546777042145,23.27390134185641,24.859980687306415,6.4299437000534425,"Carrot, Wheat, Oilseeds, Rice, Potato"
6.877550341037986,58.15472224246678,97.37293996771237,35.66106584972935,"Rice, Carrot, Wheat, Onion, Oilseeds"
22.421257354266043,28.891259379946167,81.98755286469526,13.67804341941261,"Tomato, Onion, Cotton, Rice, Mango"
13.103087085111786,59.959582514304955,86.95634148789696,96.71641435201894,"Onion, Wheat, Mango, Carrot, Potato"
91.28205289238424,36.53362155343417,9.597021542495565,14.058221413168436,"Cotton, Potato, Oilseeds, Carrot, Tomato"
15.787704804223123,88.37479377224187,59.345195142606144,6.688207681162628,"Cotton, Mango, Rice, Carrot, Potato"
86.09641725711846,40.584773785001616,44.89802708005737,15.386854254394356,"Wheat, Mango, Oilseeds, Onion, Rice"
16.576673162696288,84.8594633138054,10.814904430376348,84.78389286492735,"Onion, Sugarcane, Mango, Rice, Oilseeds"
46.957694820897125,50.47234280384688,46.18621912391726,24.978997933925417,"Potato, Tomato, Carrot, Onion, Oilseeds"
39.6175230039824,24.38711346668303,93.41552096692148,68.16776163643173,"Oilseeds, Sugarcane, Rice, Carrot, Tomato"
78.09520602914746,88.30255267262183,60.13229272341184,30.200829554984963,"Tomato, Cotton, Potato, Wheat, Mango"
49.48599491802924,63.62810950191909,99.64933337423739,95.22097524429205,"Potato, Mango, Carrot, Onion, Rice"
85.35658583430164,23.17723351567549,60.029957063774354,58.023963442379355,"Carrot, Tomato, Rice, Oilseeds, Wheat"
13.340455839429055,73.65683097488731,99.04755126428138,9.272695012425714,"Potato, Cotton, Tomato, Sugarcane, Carrot"
65.29529712259034,25.77962297769648,29.798490958119615,66.89632413841936,"Onion, Mango, Potato, Wheat, Oilseeds"
72.37916223774494,88.70717243499715,58.09373088215253,39.28990857027665,"Tomato, Sugarcane, Potato, Onion, Rice"
57.89486217000515,75.9171904791974,99.65753049138594,60.662761060347925,"Onion, Wheat, Sugarcane, Tomato, Rice"
83.40331240014056,80.50830257891347,16.461267567984596,88.81114195427448,"Rice, Carrot, Sugarcane, Cotton, Oilseeds"
14.828643662223707,91.01718114289248,15.02880167310856,9.815116685270475,"Oilseeds, Sugarcane, Potato, Carrot, Cotton"
58.917914502947866,33.88958180497009,31.020807241056104,20.296165418062795,"Carrot, Mango, Sugarcane, Oilseeds, Cotton"
